iso3,window_end,y,split
ZMB,2020-11-01,0,test
ZMB,2020-12-01,0,test
ZMB,2021-01-01,0,test
ZMB,2021-02-01,0,test
ZMB,2021-03-01,0,test
ZMB,2021-04-01,0,test
ZMB,2021-05-01,0,test
ZMB,2021-06-01,0,test
ZMB,2021-07-01,0,test
ZMB,2021-08-01,0,test
ZMB,2021-09-01,0,test
ZMB,2021-10-01,0,test
ZMB,2021-11-01,0,test
ZMB,2021-12-01,0,test
ZMB,2022-01-01,0,test
ZMB,2022-02-01,0,test
ZMB,2022-03-01,0,test
ZMB,2022-04-01,0,test
ZMB,2022-05-01,0,test
ZMB,2022-06-01,0,test
ZMB,2022-07-01,0,test
ZMB,2022-08-01,0,test
ZMB,2022-09-01,0,test
ZMB,2022-10-01,0,test
ZMB,2022-11-01,0,test
ZMB,2022-12-01,0,test
ZMB,2023-01-01,0,test
ZMB,2023-02-01,0,test
ZMB,2023-03-01,0,test
ZMB,2023-04-01,0,test
ZMB,2023-05-01,0,test
ZMB,2023-06-01,0,test
ZMB,2023-07-01,0,test
ZMB,2023-08-01,0,test
ZMB,2023-09-01,0,test
ZMB,2023-10-01,0,test
ZMB,2023-11-01,0,test
ZMB,2023-12-01,0,test
ZMB,2024-01-01,0,test
ZMB,2024-02-01,0,test
ZMB,2024-03-01,0,test
ZMB,2024-04-01,0,test
ZMB,2024-05-01,0,test
ZMB,2024-06-01,0,test
ZMB,2024-07-01,0,test
ZMB,2024-08-01,0,test
ZMB,2024-09-01,0,test
ZMB,2024-10-01,0,test
ZMB,2024-11-01,0,test
ZMB,2024-12-01,0,test
